      id  redshift          PSW             PSW_err          PMW             PMW_err          PLW             PLW_err                 IRAC1              IRAC1_err                 IRAC2              IRAC2_err                 IRAC3              IRAC3_err                 IRAC4              IRAC4_err                MIPS1             MIPS1_err                   S11                S11_err                  L15               L15_err                 L18W              L18W_err                 u_prime             u_prime_err                 g_prime             g_prime_err                 r_prime            r_prime_err                 i_prime             i_prime_err                z_prime             z_prime_err 
     5.0      0.62  12.72974236   5.950141623990707  9.843425857   6.386384385202327  4.545026991   6.830528948721961               0.01804  0.0018186027603630211               0.01298  0.0012998861488607379               0.01489   0.001505164775032953               0.00918  0.0009199586947249317  0.15274000000000001  0.016080919625444313                   nan                    nan                  nan                   nan                  nan                   nan   0.0006136300581865047   0.0006247126120122639  0.00023763293118642025  0.00014207691095733223   0.0009034552065365058    0.01997923731217906                     nan                     nan  0.0035967199599607354  0.00038330448826738345 
    18.0      0.45   9.61292878   5.887996173031093  6.999631221   6.346243133962972  4.719089558   6.827038002880168   0.03909000000000001   0.004077484641295416  0.034210000000000004  0.0034785256934511785  0.029230000000000003  0.0030829091780329825               0.03907  0.0039401458094847205              0.16747  0.017065181188607406                   nan                    nan                  nan                   nan                  nan                   nan   0.0024883222620231634   0.0012848320584621217    0.004741400323918581   0.0007736877588088509    0.012243529304316953    0.23884379715793838    0.021081748356023593    0.002508346084118754   0.022903751604631054    0.002300069313503523 
    58.0      0.23  15.73439944    6.01604221195377  16.29928323   6.512796098805316   10.8504105  6.8935941594230705               0.10071   0.010119542529185793               0.09107   0.009130884349284028               0.05498   0.005543654390381854               0.12001   0.012013142844401711              0.26299  0.026519153474422977                   nan                    nan                  nan                   nan                  nan                   nan   0.0016140115009128633   0.0010236646132367716    0.008470452766080045   0.0011515778191217723    0.026785923553686385     0.5015634453698529     0.05151178803731395   0.0054896404983378515    0.06484949896712941    0.009171104095241443 
   132.0      0.58  15.55896343   6.010158250627553  13.80029772   6.453942513826564  5.712904325   6.830127214664981               0.05005  0.0050432553970624966   0.04088000000000001  0.0041126930349832825               0.03613  0.0036474332070649358  0.048100000000000004   0.004823453119913161  0.22077000000000002  0.022262767774919635               0.27824    0.02812445512361084  0.19446000000000002   0.02239100078156401               0.2645  0.031211654874421513   0.0005103952512591583   0.0005710958968214495   0.0013058900866153474   0.0003500207861118829   0.0044864891834035785    0.09202539354528944    0.009287666769467483   0.0012626799698291415    0.01137382717926554    0.001156518660503711 
   221.0      1.55  8.396357434   5.866121140711431  5.289815672   6.326949028458062  1.242929381      6.807666784921   0.06581999999999999   0.006644608641598088  0.056990000000000006   0.005760572974973932               0.04193   0.004244625896354119  0.037899999999999996  0.0038202748592215197              0.16594  0.016909267754695943                   nan                    nan                  nan                   nan                  nan                   nan  0.00042063618028431087   0.0005169829843634131    0.000679057616952786  0.00024116851122549045    0.001674582795654176   0.035998786044045133     0.00244290526231207   0.0004923758035284872   0.006425495518692256   0.0006666269153682466 
   251.0      0.22  11.03962445   5.908776350330988  7.311104578  6.3463086581163655  4.003684226   6.817077583385726               0.10213   0.010231200760419081               0.09232   0.009248368721023184               0.06577   0.006596743817975653   0.12054000000000001   0.012062396776760414              0.29919   0.03016953697026191                0.3439   0.035290204023213013  0.26280000000000003    0.0289317887452539              0.35582   0.03851806360657296   0.0029100913700972745   0.0013975826792502486     0.00895172279416064    0.001217007602469966    0.028834114920491444     0.5377910556842335    0.049193375668342566    0.005242565975835674     0.0636658622168559    0.009003712580725442 
   396.0      0.52  1.684225944   5.806468110365692   1.97857475   6.306367971674063  0.833961345   6.805078557063992                0.0776   0.007772464216707594               0.06486   0.006498322552782372               0.05551   0.005562023103152305   0.08428000000000001   0.008434072800254929              0.30475  0.030731209299342584                   nan                    nan  0.43413999999999997   0.04464230500321416                  nan                   nan   0.0019584235597299104    0.001135358695043216    0.005494227331823432   0.0008571053188075212     0.01690077519488345    0.32424812585702484    0.027791156830878627   0.0031752407132192278   0.035967199599607355   0.0036119432973149256 
   407.0      2.64  25.50851019   6.344115221031862  22.32801994   6.690808812588446  13.12341405   6.934727044170077               0.02011   0.002104405141601778  0.020870000000000003   0.002146058946068351  0.023280000000000002  0.0024281029632204645  0.019710000000000002   0.002009214025433826              0.24207  0.024409802313824665                   nan                    nan                  nan                   nan                  nan                   nan                     nan                     nan                     nan                     nan                     nan                    nan   2.167238090299327e-05   4.097740222691752e-05                    nan                     nan 
   484.0      0.89  7.847417136    5.85808664651782  3.636994407   6.315208162041309  2.501894454   6.810814286725126               0.04448   0.004470705089804068  0.032979999999999995  0.0033134881922228117  0.028329999999999998   0.002854538316435777  0.020100000000000003   0.002022003956474864              0.14189  0.014458773149890691                   nan                    nan  0.09945000000000001   0.01482171127097003                  nan                   nan    0.001106385881234958   0.0008428884539015828   0.0018193096580669953   0.0004110911192245661     0.00353107242231038    0.07327377045282162    0.009034552065365058   0.0012282684351700782    0.01116623143750876   0.0011354098160137485 
   498.0      1.26  14.20506358   5.974922664881561  10.97686191   6.398056253505035  5.856300125    6.82945838575235               0.06408  0.0064204722567736405               0.05744   0.005759334683798121  0.041659999999999996  0.0041760814168308544  0.038259999999999995  0.0038355150892676717              0.14721  0.015000074699813999  0.055979999999999995   0.007077181925032025              0.17459  0.021128811632460543                  nan                   nan   7.242802203337044e-05  0.00021492400237975762                     nan                     nan  0.00010565903138581787   0.002563313738440304   0.0012243529304316954   0.0003281661906928308  0.0022693768747757363   0.0002947680331253792 
   547.0      3.34  35.33071825   6.794739757432513  45.79667466   7.791350455688842  40.51628089   7.919437386862808               0.00697  0.0007129579230221093               0.01046   0.001061374580438028               0.01548  0.0015596166195575118  0.019260000000000003  0.0019343929280267755  0.15993000000000002  0.016296409082985127                   nan                    nan                  nan                   nan                  nan                   nan   7.242802203337044e-05  0.00021425729571888496   0.0005295495764799512  0.00021158191085892333   0.0005806395643871257   0.013097106473840199   4.919337566834257e-05   6.181598401129868e-05                    nan                     nan 
   548.0      1.01  8.347173811    5.86369148897008  6.133128926  6.3331001553172825  1.741722146   6.806797340843436  0.018940000000000002  0.0019091453585308798               0.01532  0.0015491688093942507  0.011869999999999999  0.0012054331171823677               0.01259  0.0012747866488161854  0.15558000000000002  0.015852222683270637                   nan                    nan              0.08418  0.013372166017515636              0.14023   0.01968849737791079                     nan                     nan  0.00015272376610355276  0.00011495667676088975   0.0003907568725476301   0.008968802590510805   0.0010373053672451046  0.00030481131781477915  0.0010090359161966198  0.00013718078736504015 
